Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Accessory Fragment,Genome Fragment,Order within Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,KPL3033,KPL3043,KPL3050,KPL3052,KPL3065,KPL3069,KPL3070,KPL3077,KPL3084,KPL3086,KPL3090,KPL3246,KPL3250,KPL3256,KPL3264,KPL3274,KPL3911,KPL1914,KPL1934_CDC4709_98,ATCC_51524,KPL1939_CDC4792_99,KPL1938_CDC4791_99,KPL1937_CDC4199_99,KPL1933_CDC4545_98,KPL1932_CDC4420_98,KPL1931_CDC4294_98,KPL1930_CDC2949_98,KPL1922_CDC39_95
KPL3033_CDS_1288,cloud,hypothetical protein,1,1,1,NA,NA,,,,821,821,821,KPL3033_CDS_1288,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPL3043_CDS_0159,shell,hypothetical protein,11,11,1,NA,NA,,,,299,302,301.45,,KPL3043_CDS_0159,KPL3050_CDS_0563,,KPL3065_CDS_0144,,,,,KPL3086_CDS_0143,,KPL3246_CDS_0136,,,,KPL3274_CDS_0139,,,,ATCC_51524_CDS_0376,KPL1939_CDC4792_99_CDS_0802,,KPL1937_CDC4199_99_CDS_1001,,,,KPL1930_CDC2949_98_CDS_0747,KPL1922_CDC39_95_CDS_0507
KPL3043_CDS_0511,persistent,Undecaprenyl-diphosphatase,28,28,1,NA,NA,,,,827,827,827,KPL3033_CDS_0492,KPL3043_CDS_0511,KPL3050_CDS_0595,KPL3052_CDS_0592,KPL3065_CDS_0497,KPL3069_CDS_0597,KPL3070_CDS_0538,KPL3077_CDS_1803,KPL3084_CDS_0544,KPL3086_CDS_0496,KPL3090_CDS_0612,KPL3246_CDS_0523,KPL3250_CDS_0492,KPL3256_CDS_0148,KPL3264_CDS_0735,KPL3274_CDS_0511,KPL3911_CDS_0549,KPL1914_CDS_1574,KPL1934_CDC4709_98_CDS_0918,ATCC_51524_CDS_0034,KPL1939_CDC4792_99_CDS_0913,KPL1938_CDC4791_99_CDS_0936,KPL1937_CDC4199_99_CDS_0304,KPL1933_CDC4545_98_CDS_1419,KPL1932_CDC4420_98_CDS_1236,KPL1931_CDC4294_98_CDS_1880,KPL1930_CDC2949_98_CDS_1619,KPL1922_CDC39_95_CDS_1197
KPL3043_CDS_1151,cloud,Segregation and condensation protein A,1,1,1,NA,NA,,,,1337,1337,1337,,KPL3043_CDS_1151,,,,,,,,,,,,,,,,,,,,,,,,,,
KPL3043_CDS_1311,cloud,hypothetical protein,4,4,1,NA,NA,,,,707,707,707,,KPL3043_CDS_1311,,,KPL3065_CDS_1291,,,,,KPL3086_CDS_1304,,,,,,,,,KPL1934_CDC4709_98_CDS_1687,,,,,,,,,
KPL3050_CDS_0141,shell,hypothetical protein,7,7,1,NA,NA,,,,284,284,284,,,KPL3050_CDS_0141,,,,KPL3070_CDS_0131,,KPL3084_CDS_0131,,KPL3090_CDS_0229,,,,KPL3264_CDS_1109,,KPL3911_CDS_0133,,KPL1934_CDC4709_98_CDS_0495,,,,,,,,,
KPL3050_CDS_0525,cloud,hypothetical protein,1,1,1,NA,NA,,,,1094,1094,1094,,,KPL3050_CDS_0525,,,,,,,,,,,,,,,,,,,,,,,,,
KPL3050_CDS_1389,persistent,hypothetical protein,28,28,1,NA,NA,,,,1421,1424,1421.11,KPL3033_CDS_1371,KPL3043_CDS_1291,KPL3050_CDS_1389,KPL3052_CDS_1368,KPL3065_CDS_1270,KPL3069_CDS_1443,KPL3070_CDS_1285,KPL3077_CDS_0762,KPL3084_CDS_1308,KPL3086_CDS_1283,KPL3090_CDS_1404,KPL3246_CDS_1291,KPL3250_CDS_1285,KPL3256_CDS_0888,KPL3264_CDS_1692,KPL3274_CDS_1250,KPL3911_CDS_1334,KPL1914_CDS_0756,KPL1934_CDC4709_98_CDS_1665,ATCC_51524_CDS_1396,KPL1939_CDC4792_99_CDS_1620,KPL1938_CDC4791_99_CDS_1522,KPL1937_CDC4199_99_CDS_0500,KPL1933_CDC4545_98_CDS_0245,KPL1932_CDC4420_98_CDS_0446,KPL1931_CDC4294_98_CDS_0770,KPL1930_CDC2949_98_CDS_0266,KPL1922_CDC39_95_CDS_1607
KPL3052_CDS_0285,persistent,hypothetical protein,27,27,1,NA,NA,,,,401,404,401.22,,KPL3043_CDS_0305,KPL3050_CDS_0309,KPL3052_CDS_0285,KPL3065_CDS_0292,KPL3069_CDS_0294,KPL3070_CDS_0306,KPL3077_CDS_1508,KPL3084_CDS_0306,KPL3086_CDS_0290,KPL3090_CDS_0398,KPL3246_CDS_0296,KPL3250_CDS_0282,KPL3256_CDS_1632,KPL3264_CDS_0955,KPL3274_CDS_0298,KPL3911_CDS_0308,KPL1914_CDS_0024,KPL1934_CDC4709_98_CDS_0657,ATCC_51524_CDS_0228,KPL1939_CDC4792_99_CDS_0470,KPL1938_CDC4791_99_CDS_1141,KPL1937_CDC4199_99_CDS_0830,KPL1933_CDC4545_98_CDS_0797,KPL1932_CDC4420_98_CDS_1142,KPL1931_CDC4294_98_CDS_1596,KPL1930_CDC2949_98_CDS_0901,KPL1922_CDC39_95_CDS_1027
KPL3052_CDS_0861,cloud,hypothetical protein,6,7,1.17,NA,NA,,,,134,305,280.57,,,KPL3050_CDS_0863,KPL3052_CDS_0861,,"KPL3069_CDS_0856 ""KPL3069_CDS_0400""",,,,,KPL3090_CDS_0871,,,,,,,,KPL1934_CDC4709_98_CDS_1167,,,,,,KPL1932_CDC4420_98_CDS_0283,,,
KPL3065_CDS_0129,cloud,Accessory gene regulator protein A,3,3,1,NA,NA,,,,740,740,740,,KPL3043_CDS_0144,,,KPL3065_CDS_0129,,,,,KPL3086_CDS_0129,,,,,,,,,,,,,,,,,,
KPL3065_CDS_0705,cloud,hypothetical protein,6,6,1,NA,NA,,,,392,392,392,,KPL3043_CDS_0717,,KPL3052_CDS_0811,KPL3065_CDS_0705,,,,,KPL3086_CDS_0706,KPL3090_CDS_1539,,,,,,,,,,,,KPL1937_CDC4199_99_CDS_0049,,,,,
KPL3069_CDS_1219,shell,Ascorbate-specific PTS system EIIC component,10,11,1.1,NA,NA,,,,674,1460,1326.91,KPL3033_CDS_1172,,KPL3050_CDS_1234,,,KPL3069_CDS_1219,,,,,,KPL3246_CDS_1142,KPL3250_CDS_1132,"KPL3256_CDS_0738 ""KPL3256_CDS_0737""",KPL3264_CDS_0086,KPL3274_CDS_1103,,,,,KPL1939_CDC4792_99_CDS_0288,,,,,KPL1931_CDC4294_98_CDS_0347,,
KPL3069_CDS_1379,cloud,hypothetical protein,1,1,1,NA,NA,,,,383,383,383,,,,,,KPL3069_CDS_1379,,,,,,,,,,,,,,,,,,,,,,
KPL3070_CDS_0789,shell,hypothetical protein,13,13,1,NA,NA,,,,647,689,685.77,,,KPL3050_CDS_0864,KPL3052_CDS_0862,,KPL3069_CDS_0857,KPL3070_CDS_0789,KPL3077_CDS_0216,KPL3084_CDS_0809,,KPL3090_CDS_0872,KPL3246_CDS_0782,,,,,KPL3911_CDS_0831,,KPL1934_CDC4709_98_CDS_1168,,,,KPL1937_CDC4199_99_CDS_0101,,KPL1932_CDC4420_98_CDS_0282,KPL1931_CDC4294_98_CDS_0867,,
KPL3077_CDS_0395,cloud,hypothetical protein,3,3,1,NA,NA,,,,311,311,311,,,,,,,,KPL3077_CDS_0395,,,,,,,,,,KPL1914_CDS_1145,,,,,,,,KPL1931_CDC4294_98_CDS_0014,,
KPL3084_CDS_0126,cloud,hypothetical protein,5,5,1,NA,NA,,,,143,245,204.2,,,,,,,KPL3070_CDS_0125,,KPL3084_CDS_0126,,,,,,KPL3264_CDS_0885,KPL3274_CDS_0360,KPL3911_CDS_0127,,,,,,,,,,,
KPL3084_CDS_0414,cloud,D-tagatose-1%2C6-bisphosphate aldolase subunit KbaY,6,6,1,NA,NA,,,,845,845,845,,,,KPL3052_CDS_0391,,,KPL3070_CDS_0409,,KPL3084_CDS_0414,,,KPL3246_CDS_0404,,,,,KPL3911_CDS_0416,,,ATCC_51524_CDS_0129,,,,,,,,
KPL3084_CDS_1502,shell,hypothetical protein,14,28,2,NA,NA,,,,251,1565,775.25,KPL3033_CDS_1086,,"KPL3050_CDS_0827 ""KPL3050_CDS_0826"" ""KPL3050_CDS_0560""","KPL3052_CDS_0494 ""KPL3052_CDS_0497"" ""KPL3052_CDS_0560""",,"KPL3069_CDS_0562 ""KPL3069_CDS_0507""",KPL3070_CDS_1476,"KPL3077_CDS_1703 ""KPL3077_CDS_1771"" ""KPL3077_CDS_0942"" ""KPL3077_CDS_1707""","KPL3084_CDS_0773 ""KPL3084_CDS_0772"" ""KPL3084_CDS_1502""",,,,KPL3250_CDS_0855,KPL3256_CDS_1082,,,"KPL3911_CDS_1520 ""KPL3911_CDS_0795"" ""KPL3911_CDS_0794""",,,ATCC_51524_CDS_0900,KPL1939_CDC4792_99_CDS_1106,,"KPL1937_CDC4199_99_CDS_0187 ""KPL1937_CDC4199_99_CDS_0978"" ""KPL1937_CDC4199_99_CDS_0977""",KPL1933_CDC4545_98_CDS_0568,,,,
KPL3084_CDS_1534,cloud,hypothetical protein,4,4,1,NA,NA,,,,170,170,170,KPL3033_CDS_1579,,,,,,KPL3070_CDS_1515,,KPL3084_CDS_1534,,,,,,,,KPL3911_CDS_1552,,,,,,,,,,,
KPL3090_CDS_0087,cloud,hypothetical protein,2,2,1,NA,NA,,,,905,914,909.5,,,,,,KPL3069_CDS_1416,,,,,KPL3090_CDS_0087,,,,,,,,,,,,,,,,,
KPL3090_CDS_1527,cloud,hypothetical protein,3,4,1.33,NA,NA,,,,821,821,821,,,,,,KPL3069_CDS_1411,,,,,"KPL3090_CDS_0091 ""KPL3090_CDS_1527""",,,,,,,,,,,,,,KPL1932_CDC4420_98_CDS_0227,,,
KPL3250_CDS_0124,shell,hypothetical protein,9,9,1,NA,NA,,,,491,491,491,,KPL3043_CDS_0163,KPL3050_CDS_0155,,KPL3065_CDS_0148,,,,,KPL3086_CDS_0147,,,KPL3250_CDS_0124,,KPL3264_CDS_1092,KPL3274_CDS_0158,,KPL1914_CDS_0184,,,,,,,,KPL1931_CDC4294_98_CDS_1178,,
KPL3250_CDS_0732,cloud,hypothetical protein,5,5,1,NA,NA,,,,1232,1235,1233.2,KPL3033_CDS_0722,,,,,,,,,,KPL3090_CDS_0847,,KPL3250_CDS_0732,,,,,,KPL1934_CDC4709_98_CDS_1143,,,,,,,,KPL1930_CDC2949_98_CDS_1403,
KPL3250_CDS_1340,cloud,hypothetical protein,7,7,1,NA,NA,,,,209,278,254.86,KPL3033_CDS_1433,,,KPL3052_CDS_1428,,,,,KPL3084_CDS_1372,,,,KPL3250_CDS_1340,KPL3256_CDS_0951,,,,,,,KPL1939_CDC4792_99_CDS_1565,,,KPL1933_CDC4545_98_CDS_0183,,,,
KPL3256_CDS_0042,cloud,hypothetical protein,3,3,1,NA,NA,,,,278,278,278,,,,,,,,,,,KPL3090_CDS_0127,,,KPL3256_CDS_0042,,,,,,,,,,,KPL1932_CDC4420_98_CDS_0198,,,
KPL3264_CDS_0002,cloud,hypothetical protein,2,2,1,NA,NA,,,,752,752,752,,,,,,,,,,,,,,,KPL3264_CDS_0002,,,,,,,,KPL1937_CDC4199_99_CDS_1430,,,,,
KPL3264_CDS_1122,shell,hypothetical protein,13,13,1,NA,NA,,,,422,452,429.38,,KPL3043_CDS_0128,,KPL3052_CDS_0108,KPL3065_CDS_0114,,,,,KPL3086_CDS_0114,,,KPL3250_CDS_0104,KPL3256_CDS_1459,KPL3264_CDS_1122,KPL3274_CDS_0123,,,,ATCC_51524_CDS_0405,KPL1939_CDC4792_99_CDS_0770,KPL1938_CDC4791_99_CDS_1335,KPL1937_CDC4199_99_CDS_1032,,KPL1932_CDC4420_98_CDS_1625,,,
KPL3264_CDS_1794,cloud,hypothetical protein,3,3,1,NA,NA,,,,134,134,134,KPL3033_CDS_1270,,,,,,,,,,,,,,KPL3264_CDS_1794,,,,,,,,KPL1937_CDC4199_99_CDS_1411,,,,,
KPL3274_CDS_0143,cloud,hypothetical protein,1,1,1,NA,NA,,,,179,179,179,,,,,,,,,,,,,,,,KPL3274_CDS_0143,,,,,,,,,,,,
KPL3911_CDS_0667,cloud,hypothetical protein,1,1,1,NA,NA,,,,107,107,107,,,,,,,,,,,,,,,,,KPL3911_CDS_0667,,,,,,,,,,,
KPL1914_CDS_0463,cloud,hypothetical protein,2,2,1,NA,NA,,,,1430,1430,1430,,,,,,,,KPL3077_CDS_1060,,,,,,,,,,KPL1914_CDS_0463,,,,,,,,,,
KPL1914_CDS_1391,cloud,hypothetical protein,1,1,1,NA,NA,,,,785,785,785,,,,,,,,,,,,,,,,,,KPL1914_CDS_1391,,,,,,,,,,
KPL1934_CDC4709_98_CDS_0869,cloud,hypothetical protein,2,2,1,NA,NA,,,,695,737,716,,,,,,,,,,,,,,,,,,,KPL1934_CDC4709_98_CDS_0869,,,,,,,KPL1931_CDC4294_98_CDS_0918,,
KPL1934_CDC4709_98_CDS_1605,cloud,hypothetical protein,1,1,1,NA,NA,,,,401,401,401,,,,,,,,,,,,,,,,,,,KPL1934_CDC4709_98_CDS_1605,,,,,,,,,
KPL1934_CDC4709_98_CDS_1733,cloud,hypothetical protein,3,3,1,NA,NA,,,,239,245,241,,,,,,,,,,,,,,,,KPL3274_CDS_1305,,,KPL1934_CDC4709_98_CDS_1733,,,,,,,,,KPL1922_CDC39_95_CDS_1547
ATCC_51524_CDS_0691,cloud,hypothetical protein,1,1,1,NA,NA,,,,473,473,473,,,,,,,,,,,,,,,,,,,,ATCC_51524_CDS_0691,,,,,,,,
ATCC_51524_CDS_0915,cloud,hypothetical protein,1,1,1,NA,NA,,,,734,734,734,,,,,,,,,,,,,,,,,,,,ATCC_51524_CDS_0915,,,,,,,,
KPL1939_CDC4792_99_CDS_0095,cloud,KHG/KDPG aldolase,2,2,1,NA,NA,,,,629,629,629,,,,,,,,,,,,,,,,,,,,,KPL1939_CDC4792_99_CDS_0095,KPL1938_CDC4791_99_CDS_0885,,,,,,
KPL1939_CDC4792_99_CDS_0447,cloud,6-phospho-alpha-glucosidase,2,2,1,NA,NA,,,,1337,1337,1337,,,,,,,,,,,,,,,,,,,,,KPL1939_CDC4792_99_CDS_0447,,,KPL1933_CDC4545_98_CDS_0824,,,,
KPL1939_CDC4792_99_CDS_0735,persistent,hypothetical protein,26,26,1,NA,NA,,,,191,386,372.04,KPL3033_CDS_0087,KPL3043_CDS_0095,KPL3050_CDS_0087,KPL3052_CDS_0089,KPL3065_CDS_0095,KPL3069_CDS_0087,KPL3070_CDS_0094,KPL3077_CDS_1289,KPL3084_CDS_0094,KPL3086_CDS_0095,KPL3090_CDS_0188,KPL3246_CDS_0095,KPL3250_CDS_0086,KPL3256_CDS_1425,KPL3264_CDS_1166,KPL3274_CDS_0087,KPL3911_CDS_0095,KPL1914_CDS_0243,KPL1934_CDC4709_98_CDS_0458,ATCC_51524_CDS_0436,KPL1939_CDC4792_99_CDS_0735,KPL1938_CDC4791_99_CDS_1362,,KPL1933_CDC4545_98_CDS_1011,KPL1932_CDC4420_98_CDS_1593,,KPL1930_CDC2949_98_CDS_0473,KPL1922_CDC39_95_CDS_0054
KPL1939_CDC4792_99_CDS_1663,cloud,hypothetical protein,3,3,1,NA,NA,,,,968,968,968,,,,,,,,,,,,,,KPL3256_CDS_1247,,,,,,,KPL1939_CDC4792_99_CDS_1663,,,,,,KPL1930_CDC2949_98_CDS_0970,
KPL1938_CDC4791_99_CDS_0601,persistent,hypothetical protein,28,28,1,NA,NA,,,,641,647,646.36,KPL3033_CDS_1530,KPL3043_CDS_1449,KPL3050_CDS_1545,KPL3052_CDS_1529,KPL3065_CDS_1428,KPL3069_CDS_1601,KPL3070_CDS_1444,KPL3077_CDS_0914,KPL3084_CDS_1471,KPL3086_CDS_1441,KPL3090_CDS_1632,KPL3246_CDS_1442,KPL3250_CDS_1435,KPL3256_CDS_1049,KPL3264_CDS_1533,KPL3274_CDS_1402,KPL3911_CDS_1489,KPL1914_CDS_0605,KPL1934_CDC4709_98_CDS_0089,ATCC_51524_CDS_1545,KPL1939_CDC4792_99_CDS_1471,KPL1938_CDC4791_99_CDS_0601,KPL1937_CDC4199_99_CDS_0651,KPL1933_CDC4545_98_CDS_0086,KPL1932_CDC4420_98_CDS_0857,KPL1931_CDC4294_98_CDS_0046,KPL1930_CDC2949_98_CDS_0064,KPL1922_CDC39_95_CDS_0773
KPL1937_CDC4199_99_CDS_0861,cloud,Bacitracin export permease protein BceB,3,3,1,NA,NA,,,,1253,2006,1713,,,,,,,,,,,,KPL3246_CDS_0264,,,,,,,,,,,KPL1937_CDC4199_99_CDS_0861,,KPL1932_CDC4420_98_CDS_1113,,,
KPL1937_CDC4199_99_CDS_0893,cloud,hypothetical protein,1,1,1,NA,NA,,,,188,188,188,,,,,,,,,,,,,,,,,,,,,,,KPL1937_CDC4199_99_CDS_0893,,,,,
KPL1937_CDC4199_99_CDS_1213,shell,putative ABC transporter ATP-binding protein YknY,9,9,1,NA,NA,,,,683,683,683,,,KPL3050_CDS_1012,,,,,KPL3077_CDS_0385,,,,KPL3246_CDS_0923,,,,,,KPL1914_CDS_1155,,ATCC_51524_CDS_1019,,KPL1938_CDC4791_99_CDS_0407,KPL1937_CDC4199_99_CDS_1213,KPL1933_CDC4545_98_CDS_0520,,KPL1931_CDC4294_98_CDS_0468,,
KPL1933_CDC4545_98_CDS_0314,cloud,hypothetical protein,2,2,1,NA,NA,,,,3077,3083,3080,,,,,,,,,,,,,,,,,,,,,,,,KPL1933_CDC4545_98_CDS_0314,,,KPL1930_CDC2949_98_CDS_0576,
KPL1932_CDC4420_98_CDS_0051,persistent,hypothetical protein,28,28,1,NA,NA,,,,446,449,446.75,KPL3033_CDS_0886,KPL3043_CDS_0910,KPL3050_CDS_1019,KPL3052_CDS_1014,KPL3065_CDS_0896,KPL3069_CDS_1001,KPL3070_CDS_0936,KPL3077_CDS_0396,KPL3084_CDS_0954,KPL3086_CDS_0908,KPL3090_CDS_1026,KPL3246_CDS_0931,KPL3250_CDS_0911,KPL3256_CDS_0525,KPL3264_CDS_0320,KPL3274_CDS_0888,KPL3911_CDS_0980,KPL1914_CDS_1144,KPL1934_CDC4709_98_CDS_1317,ATCC_51524_CDS_1012,KPL1939_CDC4792_99_CDS_1052,KPL1938_CDC4791_99_CDS_0414,KPL1937_CDC4199_99_CDS_1221,KPL1933_CDC4545_98_CDS_0511,KPL1932_CDC4420_98_CDS_0051,KPL1931_CDC4294_98_CDS_0015,KPL1930_CDC2949_98_CDS_0942,KPL1922_CDC39_95_CDS_0207
KPL1932_CDC4420_98_CDS_0179,cloud,hypothetical protein,1,1,1,NA,NA,,,,677,677,677,,,,,,,,,,,,,,,,,,,,,,,,,KPL1932_CDC4420_98_CDS_0179,,,
KPL1932_CDC4420_98_CDS_1491,shell,Trehalose-6-phosphate hydrolase,22,22,1,NA,NA,,,,1652,1655,1654.86,KPL3033_CDS_1794,KPL3043_CDS_1707,KPL3050_CDS_1833,KPL3052_CDS_1813,KPL3065_CDS_1687,KPL3069_CDS_1863,KPL3070_CDS_1730,,KPL3084_CDS_1750,KPL3086_CDS_1699,,KPL3246_CDS_1713,KPL3250_CDS_1707,KPL3256_CDS_1325,KPL3264_CDS_1259,KPL3274_CDS_1677,KPL3911_CDS_1765,,KPL1934_CDC4709_98_CDS_0359,ATCC_51524_CDS_0537,,KPL1938_CDC4791_99_CDS_1637,KPL1937_CDC4199_99_CDS_1499,KPL1933_CDC4545_98_CDS_1130,KPL1932_CDC4420_98_CDS_1491,,,KPL1922_CDC39_95_CDS_0962
KPL1931_CDC4294_98_CDS_0899,cloud,hypothetical protein,1,1,1,NA,NA,,,,698,698,698,,,,,,,,,,,,,,,,,,,,,,,,,,KPL1931_CDC4294_98_CDS_0899,,
KPL1931_CDC4294_98_CDS_0931,cloud,hypothetical protein,1,1,1,NA,NA,,,,416,416,416,,,,,,,,,,,,,,,,,,,,,,,,,,KPL1931_CDC4294_98_CDS_0931,,
KPL1931_CDC4294_98_CDS_0963,cloud,hypothetical protein,1,1,1,NA,NA,,,,4574,4574,4574,,,,,,,,,,,,,,,,,,,,,,,,,,KPL1931_CDC4294_98_CDS_0963,,
KPL1931_CDC4294_98_CDS_0995,cloud,Thymidine kinase,1,1,1,NA,NA,,,,578,578,578,,,,,,,,,,,,,,,,,,,,,,,,,,KPL1931_CDC4294_98_CDS_0995,,
KPL1930_CDC2949_98_CDS_0905,cloud,hypothetical protein,1,1,1,NA,NA,,,,710,710,710,,,,,,,,,,,,,,,,,,,,,,,,,,,KPL1930_CDC2949_98_CDS_0905,
KPL1930_CDC2949_98_CDS_0969,cloud,Glucose--fructose oxidoreductase,3,3,1,NA,NA,,,,1067,1079,1075,,,,,,,,,,,,,,KPL3256_CDS_1248,,,,,,,KPL1939_CDC4792_99_CDS_1662,,,,,,KPL1930_CDC2949_98_CDS_0969,
KPL1922_CDC39_95_CDS_0237,cloud,hypothetical protein,2,2,1,NA,NA,,,,1286,1292,1289,,,,,,,,,,,,,,,,,,,,,,,,,,KPL1931_CDC4294_98_CDS_1009,,KPL1922_CDC39_95_CDS_0237
KPL1922_CDC39_95_CDS_0525,cloud,hypothetical protein,1,1,1,NA,NA,,,,710,710,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,KPL1922_CDC39_95_CDS_0525
KPL1922_CDC39_95_CDS_1293,cloud,putative HTH-type transcriptional regulator YbbH,6,6,1,NA,NA,,,,851,851,851,,,,,,,,,,,,KPL3246_CDS_0837,KPL3250_CDS_0805,,,,,,,ATCC_51524_CDS_1117,KPL1939_CDC4792_99_CDS_1156,,,,,,KPL1930_CDC2949_98_CDS_1332,KPL1922_CDC39_95_CDS_1293
KPL3033_CDS_0873,cloud,HTH-type transcriptional activator RhaR,2,2,1,NA,NA,,,,974,992,983,KPL3033_CDS_0873,,KPL3050_CDS_0999,,,,,,,,,,,,,,,,,,,,,,,,,
KPL3033_CDS_1577,cloud,hypothetical protein,4,4,1,NA,NA,,,,110,125,121.25,KPL3033_CDS_1577,,,,,,KPL3070_CDS_1513,,KPL3084_CDS_1532,,,,,,,,KPL3911_CDS_1550,,,,,,,,,,,
KPL3043_CDS_0320,shell,hypothetical protein,20,25,1.25,NA,NA,,,,320,6167,5029.04,KPL3033_CDS_0303,KPL3043_CDS_0320,,KPL3052_CDS_0307,KPL3065_CDS_0307,KPL3069_CDS_0314,KPL3070_CDS_0321,KPL3077_CDS_1522,KPL3084_CDS_0326,KPL3086_CDS_0305,KPL3090_CDS_0415,,KPL3250_CDS_0299,KPL3256_CDS_1653,,KPL3274_CDS_0312,KPL3911_CDS_0328,"KPL1914_CDS_1766 ""KPL1914_CDS_0004"" ""KPL1914_CDS_0009"" ""KPL1914_CDS_0002"" ""KPL1914_CDS_0003"" ""KPL1914_CDS_0008""",,ATCC_51524_CDS_0214,KPL1939_CDC4792_99_CDS_0485,,,KPL1933_CDC4545_98_CDS_0776,,KPL1931_CDC4294_98_CDS_1225,,KPL1922_CDC39_95_CDS_1013
KPL3043_CDS_1536,shell,hypothetical protein,12,13,1.08,NA,NA,,,,743,2408,2200.77,KPL3033_CDS_1612,KPL3043_CDS_1536,,"KPL3052_CDS_1624 ""KPL3052_CDS_1623""",KPL3065_CDS_1516,KPL3069_CDS_1694,,,,KPL3086_CDS_1529,,,KPL3250_CDS_1512,,,KPL3274_CDS_1496,,KPL1914_CDS_0520,,ATCC_51524_CDS_1627,KPL1939_CDC4792_99_CDS_1395,,,,,KPL1931_CDC4294_98_CDS_0138,,
KPL3050_CDS_0142,shell,Mercuric reductase,10,12,1.2,NA,NA,,,,296,1643,1353.5,,,KPL3050_CDS_0142,,,,KPL3070_CDS_0132,,KPL3084_CDS_0132,,KPL3090_CDS_0230,,,KPL3256_CDS_1473,"KPL3264_CDS_1107 ""KPL3264_CDS_1108""",,"KPL3911_CDS_0135 ""KPL3911_CDS_0134""",,KPL1934_CDC4709_98_CDS_0496,ATCC_51524_CDS_0386,,,,KPL1933_CDC4545_98_CDS_0974,,,,
KPL3050_CDS_0526,cloud,IS1595 family transposase ISCco4,1,1,1,NA,NA,,,,920,920,920,,,KPL3050_CDS_0526,,,,,,,,,,,,,,,,,,,,,,,,,
KPL3052_CDS_0542,cloud,hypothetical protein,7,7,1,NA,NA,,,,788,788,788,KPL3033_CDS_1064,,KPL3050_CDS_0541,KPL3052_CDS_0542,,KPL3069_CDS_0543,,KPL3077_CDS_1753,,,,,,,,,,,KPL1934_CDC4709_98_CDS_0883,,,,KPL1937_CDC4199_99_CDS_0208,,,,,
KPL3052_CDS_1150,cloud,hypothetical protein,1,1,1,NA,NA,,,,6785,6785,6785,,,,KPL3052_CDS_1150,,,,,,,,,,,,,,,,,,,,,,,,
KPL3065_CDS_0130,cloud,hypothetical protein,3,3,1,NA,NA,,,,1304,1304,1304,,KPL3043_CDS_0145,,,KPL3065_CDS_0130,,,,,KPL3086_CDS_0130,,,,,,,,,,,,,,,,,,
KPL3065_CDS_0706,cloud,hypothetical protein,5,5,1,NA,NA,,,,218,218,218,,KPL3043_CDS_0718,,KPL3052_CDS_0812,KPL3065_CDS_0706,,,,,KPL3086_CDS_0707,,,,,,,,,,,,,KPL1937_CDC4199_99_CDS_0050,,,,,
KPL3065_CDS_0738,persistent,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,28,28,1,NA,NA,,,,743,896,876.39,KPL3033_CDS_0726,KPL3043_CDS_0750,KPL3050_CDS_0846,KPL3052_CDS_0841,KPL3065_CDS_0738,KPL3069_CDS_0840,KPL3070_CDS_0773,KPL3077_CDS_0199,KPL3084_CDS_0793,KPL3086_CDS_0739,KPL3090_CDS_0853,KPL3246_CDS_0766,KPL3250_CDS_0739,KPL3256_CDS_0375,KPL3264_CDS_0485,KPL3274_CDS_0737,KPL3911_CDS_0815,KPL1914_CDS_1324,KPL1934_CDC4709_98_CDS_1149,ATCC_51524_CDS_1183,KPL1939_CDC4792_99_CDS_1224,KPL1938_CDC4791_99_CDS_0257,KPL1937_CDC4199_99_CDS_0084,KPL1933_CDC4545_98_CDS_1193,KPL1932_CDC4420_98_CDS_0301,KPL1931_CDC4294_98_CDS_0852,KPL1930_CDC2949_98_CDS_1397,KPL1922_CDC39_95_CDS_1358
KPL3065_CDS_1218,persistent,PTS system lactose-specific EIICB component,24,24,1,NA,NA,,,,1700,1712,1710.5,KPL3033_CDS_1324,KPL3043_CDS_1233,KPL3050_CDS_1339,KPL3052_CDS_1323,KPL3065_CDS_1218,KPL3069_CDS_1324,KPL3070_CDS_1240,KPL3077_CDS_0719,KPL3084_CDS_1264,KPL3086_CDS_1231,KPL3090_CDS_1356,KPL3246_CDS_1239,KPL3250_CDS_1239,KPL3256_CDS_0841,KPL3264_CDS_1739,KPL3274_CDS_1203,KPL3911_CDS_1290,KPL1914_CDS_0802,,,,KPL1938_CDC4791_99_CDS_0868,KPL1937_CDC4199_99_CDS_1362,,KPL1932_CDC4420_98_CDS_0691,KPL1931_CDC4294_98_CDS_0240,KPL1930_CDC2949_98_CDS_0999,KPL1922_CDC39_95_CDS_0322
